date,ticker,close,volume
2024-01-01,AAPL,137.45,9556428
2024-01-02,MSFT,173.2,6387926
2024-01-03,GOOGL,115.6,2403950
2024-01-04,AAPL,105.81,8795585
2024-01-05,MSFT,160.11,7372653
2024-01-08,GOOGL,102.06,9729188
2024-01-09,AAPL,183.24,2911051
2024-01-10,MSFT,118.18,2650640
2024-01-11,GOOGL,130.42,5722807
2024-01-12,AAPL,143.19,3621062
2024-01-15,MSFT,161.19,2255444
2024-01-16,GOOGL,129.21,4297256
2024-01-17,AAPL,145.61,8066583
2024-01-18,MSFT,119.97,5628109
2024-01-19,GOOGL,159.24,1418053
2024-01-22,AAPL,160.75,2534717
2024-01-23,MSFT,106.51,9539969
2024-01-24,GOOGL,196.56,8275576
2024-01-25,AAPL,130.46,1879049
2024-01-26,MSFT,168.42,4961372
2024-01-29,GOOGL,112.2,5456592
2024-01-30,AAPL,103.44,9183883
2024-01-31,MSFT,125.88,6962700
2024-02-01,GOOGL,131.17,5680612
2024-02-02,AAPL,154.67,2663690
2024-02-05,MSFT,196.96,7976195
2024-02-06,GOOGL,193.95,9053446
2024-02-07,AAPL,159.79,9296868
2024-02-08,MSFT,108.85,2763845
2024-02-09,GOOGL,104.52,3927972
2024-02-12,AAPL,138.87,3442141
2024-02-13,MSFT,182.87,4210779
2024-02-14,GOOGL,128.09,5884264
2024-02-15,AAPL,114.09,8219772
2024-02-16,MSFT,107.46,9881982
2024-02-19,GOOGL,177.22,2788441
2024-02-20,AAPL,100.55,8339152
2024-02-21,MSFT,170.69,7561064
2024-02-22,GOOGL,177.13,1666401
2024-02-23,AAPL,135.85,2042821
2024-02-26,MSFT,186.31,6609683
2024-02-27,GOOGL,133.09,1572025
2024-02-28,AAPL,131.1,3926649
2024-02-29,MSFT,172.96,6738017
2024-03-01,GOOGL,188.72,5249934
2024-03-04,AAPL,111.96,7419203
2024-03-05,MSFT,176.08,6051494
2024-03-06,GOOGL,177.1,5444160
2024-03-07,AAPL,152.27,4847869
2024-03-08,MSFT,102.54,1971022
2024-03-11,GOOGL,103.14,6727693
2024-03-12,AAPL,131.44,5577136
2024-03-13,MSFT,190.76,3243630
2024-03-14,GOOGL,141.04,7799960
2024-03-15,AAPL,122.88,1692819
2024-03-18,MSFT,128.98,2450991
2024-03-19,GOOGL,192.97,8273083
2024-03-20,AAPL,163.34,8843145
2024-03-21,MSFT,180.37,2679130
2024-03-22,GOOGL,189.26,5854080
2024-03-25,AAPL,180.74,9064821
2024-03-26,MSFT,131.8,1990467
2024-03-27,GOOGL,122.79,4843970
2024-03-28,AAPL,181.8,8746575
2024-03-29,MSFT,100.7,5596725
2024-04-01,GOOGL,141.74,2998970
2024-04-02,AAPL,111.99,4038536
2024-04-03,MSFT,194.29,3908826
2024-04-04,GOOGL,151.88,7327170
2024-04-05,AAPL,136.36,9746038
2024-04-08,MSFT,196.24,3266040
2024-04-09,GOOGL,149.72,3707904
2024-04-10,AAPL,128.48,1331982
2024-04-11,MSFT,160.96,5524111
2024-04-12,GOOGL,105.15,3507818
2024-04-15,AAPL,190.83,3156057
2024-04-16,MSFT,114.49,5405074
2024-04-17,GOOGL,198.57,3178497
2024-04-18,AAPL,167.21,7854576
2024-04-19,MSFT,123.76,7553947
2024-04-22,GOOGL,136.78,6690752
2024-04-23,AAPL,163.35,5821972
2024-04-24,MSFT,109.03,8517722
2024-04-25,GOOGL,132.08,2678666
2024-04-26,AAPL,104.08,6318036
2024-04-29,MSFT,167.76,1149290
2024-04-30,GOOGL,151.21,3038461
2024-05-01,AAPL,164.52,2569297
2024-05-02,MSFT,169.09,4480618
2024-05-03,GOOGL,193.67,2237688
2024-05-06,AAPL,134.11,2021261
2024-05-07,MSFT,192.47,8896054
2024-05-08,GOOGL,125.79,6939856
2024-05-09,AAPL,181.72,5996807
2024-05-10,MSFT,152.97,3176670
2024-05-13,GOOGL,109.31,9074941
2024-05-14,AAPL,190.04,6697913
2024-05-15,MSFT,133.9,4142886
2024-05-16,GOOGL,172.6,9073992
2024-05-17,AAPL,188.71,8018879
